Player,Games,LP,Region,Platform,Character,Overall,AlexWin,AlexGames,BirdieWin,BirdieGames,CammyWin,CammyGames,ChunWin,ChunGames,ClawWin,ClawGames,DhalsimWin,DhalsimGames,DictatorWin, DictatorGames,FangWin,FangGames,KarinWin,KarinGames,KenWin,KenGames,LauraWin,LauraGames,NashWin,NashGames,NecalliWin,NecalliGames,RMikaWin,RMikaGames,RashidWin,RashidGames,RyuWin,RyuGames,ZangiefWin,ZangiefGames
RoyalMist,383,8296,USA,PSN,Birdie,85,100,7,85,21,88,18,68,16,80,21,77,9,100,26,100,8,81,32,85,20,86,29,77,18,78,23,81,22,78,19,94,37,100,12
DT_Picoro,393,7439,PER,PSN,Dictator,85,100,7,82,45,100,3,100,1,92,42,81,16,87,16,66,18,93,82,85,20,50,32,92,13,93,16,90,21,40,5,95,49,71,7
dain111,580,7842,JPN,STEAM,Dhalsim,77,75,4,84,19,77,44,75,32,92,13,63,19,87,39,68,29,80,55,80,52,87,40,66,51,72,37,66,27,76,46,84,63,80,10
nooblet92,606,7993,OTH,STEAM,Ryu,71,100,8,69,13,90,33,61,31,64,28,100,8,50,61,100,3,67,65,59,62,82,23,65,76,69,13,74,47,100,8,92,78,72,44
Ben_QQ,328,7638,DNK,STEAM,Dictator,83,100,4,85,28,92,13,77,18,93,16,63,11,75,33,57,7,91,34,82,28,61,13,96,30,92,14,70,10,80,10,87,49,70,10
r0ckaboi,158,8018,USA,STEAM,Dhalsim,86,0,0,100,7,91,12,83,6,100,7,57,7,85,14,100,1,70,10,77,9,75,8,100,11,83,6,100,8,100,2,85,7,100,6
OrangeMan,298,8071,CAN,STEAM,Rashid,78,72,22,75,12,66,12,70,20,72,22,40,5,83,37,66,12,73,19,80,35,73,15,94,19,83,6,86,15,83,6,84,32,88,9
DSC-Khannibal,282,7448,MEX,PSN,Fang,82,0,0,91,12,87,8,100,8,71,14,91,12,84,13,0,4,88,17,91,12,81,16,75,20,88,9,50,10,80,5,94,17,100,1
Oppaopp4,597,8159,JPN,STEAM,Laura,75,100,6,65,20,75,52,77,45,83,18,77,22,73,30,60,10,77,48,80,46,72,48,76,52,84,45,68,41,74,39,69,62,84,13
kojimax,317,8019,JPN,PSN,Nash,80,0,0,71,7,76,26,83,12,78,14,93,15,73,26,62,8,89,29,90,22,80,20,68,32,75,29,64,14,87,24,91,35,100,4
StDxBlitzMan,100,7732,CAN,PSN,Karin,85,100,7,100,7,100,1,75,8,0,0,25,4,100,4,66,6,87,8,100,6,100,4,100,10,50,6,83,6,80,5,86,15,100,3
SypherFlame,567,8276,USA,PSN,Necalli,73,76,21,73,23,80,35,70,34,81,37,80,20,64,48,57,14,78,56,85,40,73,26,69,42,60,35,75,32,81,16,73,75,69,13
Mignon_Luffy,224,7737,FRA,PSN,R. Mika,79,100,1,57,7,92,14,80,5,80,5,100,4,90,20,66,3,88,9,57,14,100,3,77,18,50,10,87,8,100,3,82,23,75,4
Tyrant_UK,744,8320,GBR,PSN,Dictator,77,100,16,78,50,61,31,82,29,91,45,85,28,73,84,84,13,80,47,78,38,72,50,72,79,65,41,76,39,72,11,83,114,79,29
Jhunze,731,7681,USA,PSN,Laura,72,94,18,70,44,58,34,81,43,94,34,60,33,75,80,76,17,71,59,55,45,87,32,73,52,58,46,67,37,73,38,77,83,68,22
SFGIEF,325,7710,USA,PSN,Zangief,68,100,6,53,13,85,20,53,15,62,16,66,9,80,21,66,6,75,36,66,24,69,23,42,26,65,26,65,29,88,9,88,35,18,11
RZampa,261,7704,BRA,PSN,Dictator,86,100,2,88,9,100,7,83,12,84,13,58,12,83,6,57,7,100,16,75,24,90,10,93,15,92,14,83,6,88,9,95,43,80,5
botbMagneto1080p,581,7508,USA,PSN,Karin,77,83,12,77,40,80,21,68,32,64,37,76,17,82,35,100,13,77,53,86,46,75,40,76,42,75,33,83,36,77,18,78,42,66,24
Jazdero,678,8198,MEX,PSN,Karin,73,85,21,75,20,71,21,40,15,58,17,56,16,59,32,50,6,82,51,81,32,84,25,56,30,71,45,77,22,77,9,85,34,96,26
Nimo_0,790,8229,GBR,STEAM,Necalli,83,0,0,89,29,76,21,75,56,75,32,92,14,70,81,94,19,87,73,90,52,80,52,75,66,92,54,91,34,75,24,93,115,80,15
P4AU-PLAYER,515,7691,USA,STEAM,Ken,79,0,0,74,31,76,30,77,48,88,25,91,12,78,37,87,16,75,58,86,30,85,34,81,61,63,22,82,35,69,13,82,51,75,12
sfchamp84,442,7550,USA,PSN,Necalli,72,83,12,62,24,70,27,64,14,74,27,53,15,57,28,77,22,68,41,84,32,70,34,78,37,68,25,73,23,73,15,89,38,80,15
Hado_Bramzou,255,7855,FRA,STEAM,Rashid,82,90,11,87,8,63,19,92,14,66,12,88,9,62,32,88,9,91,12,93,29,83,12,84,13,85,14,80,10,88,9,89,37,80,5
Soltis,503,7685,USA,STEAM,Fang,72,77,9,64,31,71,14,76,26,72,22,50,18,58,62,69,13,75,49,87,31,62,32,79,44,68,29,70,34,78,28,89,46,84,13
X_Y_Z_Z_Y,789,7654,KOR,STEAM,Birdie,74,85,7,81,38,74,55,68,35,68,16,80,30,79,64,70,30,75,78,76,56,64,53,71,87,83,31,69,39,75,57,70,95,77,18
crispyb0i,429,7949,USA,STEAM,Fang,76,72,25,61,18,55,9,66,27,65,20,66,27,68,35,100,9,78,37,89,37,79,29,80,30,71,35,78,23,81,11,85,40,100,10
flcln9,320,7764,RUS,PSN,R. Mika,85,94,18,66,15,93,16,63,19,100,7,28,7,90,31,60,15,93,33,95,22,81,11,93,15,90,21,75,16,90,11,91,36,92,27
Tnatchie,342,7151,USA,PSN,Dictator,66,71,7,47,19,53,26,65,20,85,21,61,18,44,27,83,6,48,25,72,22,63,19,78,37,76,17,70,24,80,10,78,33,77,9
OmegaGreen,380,8495,OTH,PSN,Dictator,76,100,3,81,11,72,22,75,20,62,16,14,7,83,18,66,12,96,27,92,25,80,21,78,46,72,37,66,33,70,24,83,42,78,14
XsK_Samurai,226,7695,USA,PSN,Ryu,86,75,8,80,5,90,11,90,11,100,6,100,1,89,29,66,3,100,18,75,16,100,16,96,25,62,16,84,19,77,9,84,25,87,8
Lv_Deceptionz,696,7432,CAN,PSN,Claw,76,77,9,75,53,84,25,87,32,74,35,80,30,74,51,92,14,74,55,70,31,71,49,68,73,80,47,76,39,85,20,73,53,84,19
uramakiroll,363,7697,JPN,PSN,Rashid,72,83,6,66,21,85,20,52,23,64,14,75,4,68,16,100,5,72,29,78,19,75,33,68,29,71,28,72,25,62,24,90,31,55,9
tenafly_viper,396,7240,USA,STEAM,Birdie,75,60,10,87,24,89,19,51,39,87,24,58,12,72,29,66,12,69,43,70,27,73,26,78,28,100,16,91,12,75,16,83,42,100,3
psxsquall,398,7560,USA,STEAM,Claw,79,90,11,63,22,78,19,60,23,90,11,83,18,73,23,100,9,75,49,86,23,95,23,75,40,71,28,80,40,100,18,77,35,83,6
Pavocado,296,7683,USA,STEAM,R. Mika,88,0,0,100,14,80,15,92,13,100,17,80,5,87,24,75,4,87,31,87,33,80,21,100,18,78,28,96,25,100,3,87,32,92,13
GiganticTager,761,7215,GBR,PSN,Dictator,73,83,24,76,47,66,30,80,36,76,34,69,26,61,88,72,29,69,62,80,56,77,40,71,64,78,71,67,28,57,21,82,93,63,11
MikotoSuoh,118,7674,GBR,PSN,Ryu,94,0,0,71,7,100,8,100,1,100,5,100,3,100,7,100,4,100,10,100,4,100,6,87,16,100,5,100,6,92,13,95,20,100,3
enji_ps4,549,7569,JPN,PSN,Rashid,67,80,15,55,20,74,39,61,36,75,20,56,16,80,20,78,14,71,56,73,61,69,36,55,61,47,17,75,32,75,24,66,59,60,5
WhiteBl4ck,320,7588,FRA,PSN,Ken,79,100,6,85,14,73,19,100,15,85,7,50,8,75,33,66,12,67,34,69,13,80,15,89,29,88,17,88,17,57,7,79,63,90,11
RayRay,1058,10016,USA,STEAM,Chun Li,78,81,16,85,99,72,50,90,44,77,53,77,45,72,81,70,30,84,119,72,95,80,65,80,76,68,64,84,44,73,46,77,114,88,17
Nightcross,182,7667,BEL,STEAM,Dhalsim,81,100,3,63,11,75,8,92,13,77,9,66,21,81,11,75,4,83,12,85,14,87,8,92,14,77,9,85,7,100,12,76,21,80,5
AcceleratorXiv,668,6705,JPN,STEAM,Nash,62,93,16,64,14,55,60,50,62,55,29,58,24,61,44,71,14,69,63,76,71,31,41,67,61,60,40,50,26,62,27,76,52,75,24
kamome,233,7996,JPN,PSN,Nash,84,100,4,100,7,94,17,81,11,71,7,66,9,92,14,77,9,91,34,83,12,86,15,82,23,78,14,70,10,75,16,92,27,75,4
kofROMANCE,228,8439,USA,PSN,Karin,78,100,13,68,51,100,8,100,10,100,6,66,21,100,3,0,0,77,9,100,8,81,11,75,20,66,9,53,15,75,8,96,25,72,11
Tequ1la,241,7645,BRA,STEAM,Birdie,83,100,6,81,11,90,22,100,13,73,23,87,8,73,30,50,4,81,11,90,22,63,11,83,12,75,29,100,5,100,3,92,25,100,5
SabugoFresco,353,8532,BRA,PSN,Dhalsim,81,60,10,55,18,76,21,78,14,100,6,50,2,91,35,50,4,67,43,100,14,93,31,77,54,88,18,86,15,100,4,88,53,100,11
MosBonge,174,7690,JPN,STEAM,Birdie,82,100,4,66,3,85,7,62,8,100,11,100,5,75,12,100,2,85,27,78,19,86,15,57,7,100,12,100,4,58,12,87,16,80,10
renze85,376,7628,AUS,STEAM,Chun Li,79,0,0,66,6,100,11,88,9,92,25,60,10,82,17,63,11,73,26,70,34,83,6,88,52,61,21,95,22,81,11,79,59,75,40
Tuturuu,575,7653,CAN,STEAM,Karin,85,0,0,76,26,83,31,60,46,92,25,74,27,78,37,88,17,92,51,85,62,78,28,88,51,89,29,92,27,100,14,96,75,93,15
PRO7OTYPE,330,7813,USA,PSN,Cammy,76,93,15,63,22,56,16,80,15,75,16,75,4,64,28,75,8,64,14,91,12,92,13,68,16,77,18,83,12,80,5,82,47,80,10
yu5ririn,209,7655,JPN,PSN,Dictator,81,0,0,85,7,75,20,76,13,71,7,66,6,44,9,80,5,100,19,85,21,87,16,93,16,100,12,88,17,66,9,76,26,66,6
JF_RottenX,229,8021,GRC,PSN,Dictator,86,88,17,80,15,75,12,90,10,50,6,88,9,77,18,83,6,92,14,94,17,75,8,88,18,92,14,88,18,66,3,97,39,80,5
BTM_GuN_SLinGa,417,7522,GBR,PSN,Ken,75,78,14,53,15,60,15,80,10,86,15,70,10,65,26,71,7,72,40,80,15,84,19,81,16,83,12,87,8,69,13,90,33,66,9
Dipper,109,7647,MEX,PSN,Karin,93,100,3,100,6,100,7,66,3,50,2,85,7,100,4,100,3,80,10,85,7,100,8,100,15,100,1,90,10,100,4,100,19,0,0
naumanzoh,569,7971,JPN,STEAM,Ken,71,85,21,90,10,66,51,67,53,72,18,63,30,76,21,66,12,72,40,80,42,84,39,60,56,63,33,62,32,64,31,75,64,81,16
kenpachi-BE,312,7639,BEL,PSN,Ryu,82,100,1,85,7,75,16,82,17,85,7,57,19,84,13,100,4,100,18,100,10,80,10,64,14,80,20,33,3,80,10,94,36,100,4
SaltyBoison,237,7853,SWE,PSN,Cammy,78,100,4,42,7,85,7,0,1,66,12,0,2,63,22,100,2,78,14,64,17,100,7,86,22,100,12,88,9,75,4,86,36,100,2
